Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
Module Status Flags,305121,Word,1,RO,10,,,,,,,,,,,
Module Warning Flags,305122,Word,1,RO,10,,,,,,,,,,,
Module Alarm Flags,305123,Word,1,RO,10,,,,,,,,,,,
Module Error Flags,305124,Word,1,RO,10,,,,,,,,,,,
Module IO Flag,305125,Word,1,RO,10,,,,,,,,,,,
FwUpdateStatus,305126,Word,1,RO,10,,,,,,,,,,,
Reserved,305127,Word,1,RO,10,,,,,,,,,,,
Charging Voltage (CV),305129,Word,1,RO,10,Linear,0,1000,0,10,Float,0,0,mV,,0
Charging Current (CC),305130,Short,1,RO,10,Linear,0,1000,0,10,Float,0,0,mA,,0
Discharge Current Limit (DCL),305131,Short,1,RO,10,Linear,0,1000,0,10,Float,0,0,mA,,0
End of Discharge Voltage (EDV),305132,Word,1,RO,10,Linear,0,1000,0,10,Float,0,0,mV,,0
Don't care,305134,Word,1,RO,10,,,,,,,,,,,
Cell Balance Status,305135,Word,1,RO,10,,,,,,,,,,,
Design Capacity (DC),305136,Word,1,RO,10,Linear,0,1000,0,10,Float,0,0,mAh,,0
Full Charged Capacity (FCC),305137,Word,1,RO,10,Linear,0,1000,0,10,Float,0,0,mAh,,0
Remaining Capacity (RC),305138,Word,1,RO,10,Linear,0,1000,0,10,Float,0,0,mAh,,0
State of Charge (SOC),305139,Word,1,RO,10,Linear,0,1000,0,100,Float,0,0,%,,0
State of Health (SOH),305140,Word,1,RO,10,Linear,0,1000,0,100,Float,0,0,%,,0
Cycle Count,305141,Word,1,RO,10,,,,,,,,,,,
Total Voltage,305145,Word,1,RO,10,Linear,0,1000,0,10,Float,0,0,mV,,0
Max Cell Voltage,305146,Word,1,RO,10,Linear,0,1000,0,1,Float,0,0,mV,,0
Min Cell Voltage,305147,Word,1,RO,10,Linear,0,1000,0,1,Float,0,0,mV,,0
Current,305149,Short,1,RO,10,Linear,0,1000,0,10,Float,0,0,mA,,0
Max Cell Temperature,305153,Short,1,RO,10,Linear,0,1000,0,100,Float,0,0,℃,,0
Min Cell Temperature,305154,Short,1,RO,10,Linear,0,1000,0,100,Float,0,0,℃,,0
Max PCB Parts Temperature,305156,Short,1,RO,10,Linear,0,1000,0,100,Float,0,0,℃,,0
Battery Cumulative Input Capacity Ah,305157,Word,1,RO,10,Linear,0,1000,0,100000,Float,0,0,Ah,,0
Battery Cumulative Output Capacity Ah,305158,Word,1,RO,10,Linear,0,1000,0,100000,Float,0,0,Ah,,0
Battery Cumulative Input Capacity kWh,305159,Word,1,RO,10,Linear,0,1000,0,10000,Float,0,0,kWh,,0
