時間	通訊碼
----------------------------------------------------------------------------------------------------
00:40:26.051	OPC UA settings saved: {'application_Name': 'ModUA', 'host_name': 'ModUA', 'namespace': 'ModUA', 'port': '48480', 'product_uri': 'opc.tcp://192.168.1.101:48480', 'max_sessions': '4096', 'publish_interval': '1000', 'authentication': 'Anonymous', 'username': '', 'password': '', 'organization': 'Organization', 'organization_unit': 'Unit', 'locality': 'Locality', 'state': 'State', 'country': 'tw', 'cert_validity': '20', 'policy_none': True, 'policy_sign_aes128': False, 'policy_sign_aes256': False, 'policy_sign_basic256sha256': False, 'policy_encrypt_aes128': False, 'policy_encrypt_aes256': False, 'policy_encrypt_basic256sha256': False, 'auto_generate': True}
00:40:26.213	OPC UA: Running
01:06:15.594	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:15.599	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 40 50 3E 53 00 00 00 00 00 00 00 00 00 00 00 00 F1 AB 3E 52 00 00 00 00 |
01:06:15.677	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:15.691	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:16.634	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:16.639	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA F1 AB 3E 52 00 00 00 00 00 00 00 00 00 00 00 00 88 CE 3E 52 00 00 00 00 |
01:06:16.758	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:16.773	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:17.675	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:17.681	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA D7 73 3E 52 00 00 00 00 00 00 00 00 00 00 00 00 D7 73 3E 52 4A 00 39 9D |
01:06:17.872	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:17.884	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:18.706	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:18.716	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA A3 05 3E 52 00 00 00 00 00 00 00 00 00 00 00 00 A3 05 3E 52 00 00 00 00 |
01:06:18.932	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:18.946	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:19.757	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:19.763	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 1F F2 3E 52 00 00 00 00 00 00 00 00 00 00 00 00 1F F2 3E 52 00 00 00 00 |
01:06:19.990	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:20.008	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:20.810	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:20.817	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA D1 4D 3E 51 00 00 00 00 00 00 00 00 00 00 00 00 D1 4D 3E 51 00 00 00 00 |
01:06:21.042	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:21.056	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:21.864	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:21.869	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA 3A 28 3E 52 00 00 00 00 00 00 00 00 00 00 00 00 3A 28 3E 52 00 00 00 00 |
01:06:22.096	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
01:06:22.109	RX: | 00 01 00 00 00 33 01 03 30 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 C8 00 00 00 00 00 00 41 F0 00 00 41 F0 |
01:06:22.892	TX: | 00 01 00 00 00 06 01 03 00 5F 00 32 |
01:06:22.897	RX: | 00 01 00 00 00 67 01 03 64 00 00 42 48 00 00 40 A0 00 00 00 00 00 00 40 00 00 00 44 16 00 00 40 40 00 00 41 C8 00 00 40 A0 00 00 41 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C2 48 00 00 00 00 00 00 41 F0 00 00 41 F0 00 00 44 16 26 00 46 FA D7 72 3E 52 00 00 00 00 00 00 00 00 00 00 00 00 D7 72 3E 52 00 00 00 00 |
01:06:23.151	TX: | 00 01 00 00 00 06 01 03 00 6A 00 18 |
