Date	Time	Event	Length	Data
----------------------------------------------------------------------------------------------------
2026/01/13	10:55:59.655	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:55:59.661	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:55:59.709	RX	221	09 04 D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 14 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 01 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 01 0F 0B 0F 08 0F 08 0F 07 0F 09 0F 0E 0F 0C 0F 0C 0F 0D 0F 13 0F 16 0F 1B 0F 11 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 16 02 7F D9
2026/01/13	10:56:01.169	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:56:01.182	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:56:01.183	RX	221	09 04 D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 14 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 01 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 01 0F 0B 0F 08 0F 08 0F 07 0F 09 0F 0E 0F 0C 0F 0B 0F 0D 0F 13 0F 16 0F 1B 0F 11 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 16 03 F4 D9
2026/01/13	10:56:02.530	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:56:02.531	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:56:02.531	RX	221	09 04 D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 14 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 01 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 01 0F 0B 0F 08 0F 08 0F 07 0F 09 0F 0E 0F 0C 0F 0B 0F 0D 0F 13 0F 16 0F 1B 0F 11 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 16 04 B5 1B
2026/01/13	10:56:03.922	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:56:03.924	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:56:03.925	RX	221	09 04 D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 14 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 01 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 01 0F 0B 0F 07 0F 08 0F 07 0F 09 0F 0E 0F 0C 0F 0B 0F 0C 0F 13 0F 16 0F 1B 0F 10 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 16 06 E3 54
2026/01/13	10:56:05.393	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:56:05.394	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:56:05.398	RX	221	09 04 D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 14 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 01 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 01 0F 0B 0F 07 0F 09 0F 07 0F 09 0F 0E 0F 0C 0F 0B 0F 0C 0F 13 0F 16 0F 1B 0F 11 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 16 07 F4 22
2026/01/13	10:56:06.749	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:56:06.752	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:56:06.753	RX	221	09 04 D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 14 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1A 0F 00 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 00 0F 0B 0F 08 0F 09 0F 07 0F 09 0F 0E 0F 0C 0F 0B 0F 0C 0F 13 0F 16 0F 1A 0F 10 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 16 09 16 D1
2026/01/13	10:56:08.095	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:56:08.097	TX	8	09 04 14 00 00 6C F4 9F
