Date	Time	Event	Length	Data
----------------------------------------------------------------------------------------------------
2026/01/13	10:48:31.242	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:48:31.291	RX	217	D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 28 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 00 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 00 0F 0B 0F 08 0F 09 0F 07 0F 09 0F 0E 0F 0C 0F 0C 0F 0C 0F 13 0F 15 0F 1B 0F 10 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 08 33
2026/01/13	10:48:32.734	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:48:32.784	RX	217	D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 28 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 00 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 00 0F 0B 0F 08 0F 09 0F 07 0F 09 0F 0F 0F 0C 0F 0C 0F 0C 0F 13 0F 15 0F 1B 0F 10 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 08 34
2026/01/13	10:48:34.278	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:48:34.283	RX	217	D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 28 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 00 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 00 0F 0B 0F 08 0F 09 0F 07 0F 09 0F 0F 0F 0C 0F 0C 0F 0C 0F 13 0F 16 0F 1B 0F 10 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 08 36
2026/01/13	10:48:35.774	TX	8	09 04 14 00 00 6C F4 9F
2026/01/13	10:48:35.821	RX	217	D8 F0 8A 00 02 40 00 80 04 25 23 00 00 01 00 07 52 16 6C 00 00 00 00 10 68 00 00 00 00 28 00 2C D8 2A 05 00 28 00 04 03 A9 00 71 00 00 00 00 00 00 15 12 0F 1B 0F 00 15 11 00 00 00 00 00 80 30 37 00 D1 00 D1 00 FA 00 FA 00 00 00 00 00 0E 00 0E 00 D1 00 D1 00 D2 00 DF 00 FA 01 94 00 FA 00 00 0F 00 0F 0B 0F 08 0F 09 0F 07 0F 09 0F 0F 0F 0C 0F 0C 0F 0C 0F 13 0F 16 0F 1B 0F 10 00 00 00 00 50 61 6E 61 73 6F 6E 69 63 00 00 00 00 00 00 00 42 4A 2D 44 43 42 30 36 42 2D 00 00 00 00 00 00 2C 4E 00 04 00 00 01 11 00 10 07 12 06 02 00 24 32 32 30 32 31 34 41 53 44 34 30 30 34 47 46 30 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 64 06 07 20 08 37
2026/01/13	10:48:37.311	TX	8	09 04 14 00 00 6C F4 9F
